loan_amnt,term,int_rate,annual_inc,dti,credit_history_length,num_open_accounts,revol_util,delinq_2yrs,loan_status
30723,36,7.08,29764,26.6,24,9,23.9,3,0
4627,36,19.49,140832,19.92,17,13,62.89,0,0
26939,60,16.57,145838,29.71,16,10,64.04,2,0
22834,60,10.48,140356,13.08,16,7,85.05,2,0
19047,36,6.59,106156,35.6,14,12,74.09,1,0
27105,36,6.71,62727,3.37,7,10,54.26,4,0
11230,60,22.88,98471,32.29,21,7,65.36,1,0
16707,36,8.84,28068,34.45,11,6,27.4,2,0
22976,36,11.47,136923,32.69,24,3,59.31,0,1
24776,60,9.53,27295,20.51,1,10,48.92,1,0
31080,36,12.1,61160,17.54,11,3,13.33,3,1
2306,60,6.39,31390,39.85,23,2,24.25,3,0
7776,36,15.38,126752,9.17,21,11,29.17,0,0
28251,60,6.35,40131,21.88,4,6,92.43,2,0
10474,36,21.01,114754,26.83,7,4,23.04,3,1
22959,36,9.67,95969,28.03,26,5,28.92,3,0
6530,60,15.8,35038,8.16,15,3,36.94,4,0
30320,36,22.6,72327,26.16,18,6,66.37,1,0
4748,60,18.02,113718,32.73,12,11,11.82,2,0
32968,36,15.66,97064,2.0,17,12,95.39,1,0
33562,60,11.49,41281,36.46,1,3,86.56,2,0
14545,60,11.66,74189,1.18,11,14,57.72,3,0
1663,60,18.39,68511,14.24,28,14,67.4,4,1
8994,60,24.88,142115,0.63,1,8,1.67,1,0
29021,36,18.24,28605,3.09,15,9,33.89,3,0
31303,36,16.16,120318,36.45,28,4,79.57,2,0
4304,60,19.61,21381,14.19,21,9,7.75,1,1
18675,60,14.3,86634,16.99,10,12,28.23,1,1
24938,60,6.2,39810,8.61,7,7,58.53,3,1
24664,36,16.25,138343,23.88,2,3,25.64,1,0
2636,36,24.15,44322,23.79,10,7,93.4,4,1
21080,36,8.51,61869,14.89,24,14,13.11,4,0
28728,36,18.8,52955,13.32,4,1,79.74,3,0
27736,60,9.02,81388,35.4,12,3,50.79,2,0
29673,60,15.72,130252,15.33,19,6,75.03,3,0
1854,60,6.93,30207,19.74,26,4,31.07,4,1
25548,36,14.01,107329,11.33,11,7,51.45,0,0
8392,36,20.12,87628,31.47,8,14,85.68,0,0
22556,36,11.95,48220,15.9,18,3,46.69,1,0
27309,60,18.3,104050,20.54,11,1,35.97,1,0
22919,60,20.91,123546,10.13,11,9,53.62,0,0
5931,36,23.54,94085,39.51,13,6,71.74,4,0
33970,60,9.69,42031,11.66,3,8,44.36,1,1
13688,36,12.99,90721,30.83,12,3,93.89,3,0
26342,36,8.05,100807,17.1,3,8,29.49,3,0
3327,60,24.85,91312,8.25,10,2,47.55,4,0
1197,36,23.54,79766,31.99,27,12,75.69,1,0
24509,60,15.8,32449,13.34,17,4,68.91,3,1
16087,36,21.84,109833,34.61,22,3,86.36,1,0
23671,60,15.42,76699,36.61,2,10,99.68,1,0
26184,60,17.47,126127,34.39,17,1,42.69,3,0
28848,60,6.78,101253,1.4,16,13,11.12,0,0
21666,36,20.11,125659,31.49,2,13,3.04,3,0
16708,36,7.55,124769,16.45,28,7,72.69,4,0
27370,60,21.52,131041,34.95,22,11,87.4,2,0
3811,60,20.64,136185,25.52,20,10,22.07,3,0
7546,36,19.17,66092,33.35,6,2,15.84,1,0
31206,36,5.72,83671,19.98,28,4,6.22,1,0
12411,36,11.06,30350,21.4,25,9,82.27,3,0
3911,60,10.26,116158,5.78,29,6,31.14,2,0
2734,36,12.2,120859,31.36,10,8,40.17,3,1
19227,36,6.75,140097,16.78,28,2,50.28,2,0
9680,60,23.74,145222,20.0,10,7,83.95,2,0
20360,36,16.08,88487,31.4,8,6,65.08,4,0
19343,36,11.11,37622,23.95,1,13,61.51,1,1
6759,36,12.94,143853,8.04,13,14,17.57,1,0
24078,60,13.94,90263,23.61,24,9,51.32,2,1
12111,60,17.01,73117,16.31,9,7,71.54,1,0
2802,60,15.31,123990,18.78,22,1,97.33,0,1
9155,60,23.39,78394,1.13,10,14,20.14,2,1
9120,60,14.94,122005,8.4,15,8,0.95,1,0
22918,60,24.84,121084,11.24,5,11,7.53,0,0
21445,60,22.03,43782,28.52,22,10,37.59,4,0
31306,36,9.17,136276,0.46,16,3,82.05,1,0
17646,36,23.61,48454,16.35,13,14,0.71,0,0
32065,60,7.33,87904,36.96,22,2,45.67,3,0
26199,36,21.35,149936,4.48,25,12,32.92,3,0
17371,36,12.61,35592,20.66,20,3,5.25,0,0
12835,60,22.56,42173,31.46,18,11,45.02,2,0
3049,36,22.36,53204,37.7,11,6,25.47,2,0
32616,36,21.12,55596,29.87,27,13,35.19,1,0
21932,36,20.8,54324,28.82,9,14,70.56,3,1
30855,36,11.09,142258,33.06,16,3,52.16,2,0
8158,36,6.62,131668,17.85,2,10,12.46,2,0
8400,60,13.06,81202,32.23,26,5,96.14,3,0
16151,60,8.47,109400,0.32,25,6,63.59,4,0
2154,60,18.9,144184,36.98,2,8,76.59,2,0
5499,36,11.92,133365,17.73,12,7,7.92,0,0
7295,60,24.51,50750,22.14,8,14,4.71,1,1
13183,36,17.82,96112,10.2,9,11,1.94,2,0
30299,36,21.45,36566,29.7,12,8,18.88,2,0
13874,36,7.65,27190,3.07,26,3,41.44,4,1
33711,36,22.24,108607,34.91,9,4,93.58,0,0
6539,60,23.46,58333,33.12,10,6,45.71,1,1
3557,60,14.74,141929,8.64,25,11,29.03,2,1
17482,36,17.13,100905,32.37,2,7,56.19,1,0
3200,60,20.3,109571,31.45,16,9,11.19,3,0
3961,36,8.5,140263,25.29,20,13,60.95,2,0
22357,60,15.05,21589,14.94,7,1,56.84,2,0
12969,60,12.97,144467,10.86,28,13,79.2,3,0
3869,36,7.93,45235,9.27,2,8,98.67,4,1
29643,60,12.35,20159,12.74,1,8,25.09,2,0
25736,36,6.36,32145,36.14,19,6,50.97,1,0
24328,60,5.52,100909,3.11,28,4,90.89,0,0
26876,36,7.7,51921,33.15,4,3,78.52,1,0
22295,36,24.26,124859,13.96,24,11,48.74,4,0
4987,60,15.99,36237,20.86,22,3,94.54,0,0
23399,60,24.32,127507,31.78,27,6,5.72,1,0
34986,36,13.65,28244,35.38,2,13,93.1,1,0
21880,60,11.24,34743,13.79,25,8,5.05,3,0
5735,60,15.12,117102,18.47,14,7,54.73,4,0
5555,36,13.79,66101,16.58,2,11,89.04,3,0
20830,36,7.11,131645,0.53,29,1,26.27,0,0
18429,60,17.82,141534,11.84,15,11,47.22,3,0
7893,36,9.32,104227,18.37,12,6,32.43,4,0
15373,36,17.39,119532,16.44,5,7,95.21,2,0
4436,36,18.0,76378,28.88,28,12,82.36,2,0
9754,60,8.04,91126,15.39,20,7,70.9,0,0
11677,60,6.23,76071,19.58,29,9,58.76,2,0
6895,36,20.62,91121,17.18,7,11,82.06,3,0
20738,60,14.2,94763,29.63,24,11,39.23,0,0
31746,36,6.16,113814,34.52,21,10,44.76,4,0
33352,60,24.9,124350,21.28,10,5,73.0,0,1
6600,36,6.16,32237,31.58,14,1,35.78,0,0
30124,36,18.9,35649,11.87,14,2,6.39,1,0
28643,60,24.67,57713,21.65,5,4,7.43,1,0
10007,36,9.78,93463,13.81,18,5,11.54,0,0
9208,60,7.84,65409,16.57,24,9,86.97,2,1
19589,60,7.43,68766,29.3,14,11,47.22,1,0
18453,36,11.07,66154,35.27,2,1,71.29,4,1
33635,36,7.02,27016,4.86,26,3,39.29,3,0
34828,60,18.84,99563,25.39,12,5,25.87,1,0
19711,36,6.25,68688,23.29,22,3,34.72,0,0
4420,36,15.19,109678,4.74,24,4,79.42,2,0
32216,36,24.93,132056,8.48,6,14,62.52,3,0
1301,36,21.28,74238,12.44,4,3,93.76,1,0
1699,36,17.3,78608,6.68,13,4,67.97,2,0
1190,60,11.13,109081,9.75,4,14,57.02,2,0
11492,60,17.48,136572,10.7,22,13,61.02,2,1
7102,36,15.54,51897,13.43,14,13,94.24,0,0
20778,36,13.52,70961,29.98,16,1,78.82,4,0
27641,36,7.61,88703,22.88,29,12,2.4,2,0
33745,60,22.73,64757,39.45,4,8,53.41,3,0
24093,36,14.0,46917,16.59,24,4,68.83,1,0
1569,60,8.89,42736,30.15,25,7,74.87,3,0
8455,60,12.36,47990,34.86,1,2,21.31,0,1
5014,60,13.28,82551,27.16,13,2,86.72,0,0
12093,36,21.55,78161,16.47,4,6,95.58,3,0
19070,60,19.67,99623,30.14,20,14,23.67,4,0
17538,36,20.39,42440,8.15,18,2,88.26,0,0
11729,60,5.22,55205,13.1,6,6,9.7,0,0
1784,36,13.32,141156,21.87,3,11,5.57,3,0
28751,60,14.63,100811,23.02,23,2,12.92,0,0
13533,36,5.38,143768,0.89,13,4,5.77,4,1
6801,60,10.2,75103,37.8,27,7,84.5,4,0
20190,36,20.21,90812,27.87,16,8,5.91,4,0
30592,36,7.74,61627,19.83,27,3,27.17,1,0
11647,36,15.71,126122,37.33,5,14,10.38,4,0
9716,36,9.3,123032,17.56,4,13,29.54,4,0
24355,60,5.24,39008,39.22,21,9,9.06,1,0
23009,60,9.82,91274,20.49,8,2,66.8,2,0
25376,36,24.52,52402,4.57,19,8,13.33,0,1
5780,60,21.03,73384,30.59,14,8,85.18,4,1
3368,36,24.19,148922,27.16,7,13,81.72,0,0
13039,36,14.76,25793,30.92,14,14,1.37,3,1
7655,60,7.19,122827,38.06,6,4,89.57,0,0
5495,36,15.96,25571,31.06,12,1,2.89,1,0
11893,36,14.09,116867,24.45,16,13,23.96,0,1
26547,60,21.89,36209,34.29,17,1,3.24,0,0
23386,36,6.96,133550,26.93,13,2,33.58,0,0
14403,36,14.76,110930,16.32,23,14,51.39,2,0
33097,36,8.0,63148,35.42,14,12,79.66,2,0
14121,36,11.49,111218,8.88,29,14,33.8,3,1
11966,60,19.75,22224,28.59,7,9,70.55,1,0
34621,60,14.52,126693,35.26,14,13,18.75,0,0
29312,60,12.52,145551,29.25,15,2,75.06,0,0
23677,36,12.89,68695,27.89,12,2,23.6,0,0
32289,36,14.19,140779,30.11,17,6,14.35,0,0
32024,60,20.7,149714,18.6,9,7,18.54,2,0
5777,36,22.84,129988,34.97,22,13,18.21,3,0
30749,36,24.11,128944,8.14,15,7,51.29,4,0
16338,36,20.74,52441,5.1,12,13,84.48,1,1
3491,36,11.31,126966,11.42,2,9,7.96,0,0
28236,60,18.76,59129,21.26,5,6,70.7,3,0
15599,60,13.75,120252,20.42,13,14,65.43,4,0
20508,60,10.09,82368,32.82,27,8,87.25,3,1
4051,36,21.82,130395,16.18,20,11,24.41,2,1
22606,60,5.77,112122,19.37,23,6,45.01,4,0
22699,60,23.04,64760,0.53,8,2,92.58,3,0
1876,36,14.23,149655,16.39,27,1,66.0,2,0
33093,36,17.74,43478,25.91,14,5,38.88,3,0
5142,60,18.19,147881,0.62,15,14,13.14,3,0
16202,60,22.9,91854,11.24,11,9,26.25,4,0
8079,60,17.73,114230,8.32,1,8,58.12,2,1
8987,60,17.28,105716,1.68,21,14,71.82,0,0
29940,36,6.33,32180,19.17,3,13,12.44,1,1
18019,60,15.37,118538,7.27,17,4,59.96,4,0
19077,60,8.0,35372,29.72,28,5,55.04,2,0
27258,36,19.75,49796,33.92,19,13,51.4,3,0
22136,60,15.24,78272,21.82,14,5,69.01,2,0
9311,36,18.6,138295,39.27,22,6,83.74,1,0
18214,36,5.83,109963,18.02,23,3,32.3,1,1
15098,36,6.7,118826,20.53,8,5,88.9,0,1
29251,60,19.33,140592,39.57,13,2,16.06,0,1
26945,60,6.44,113635,9.26,27,10,17.3,1,0
26316,36,6.43,131022,37.7,20,1,26.68,4,1
33217,60,5.24,74040,1.71,3,11,11.95,4,0
9308,60,24.13,95357,17.86,5,1,23.03,3,0
6949,36,19.75,91368,2.8,9,10,10.64,0,0
2150,36,12.07,98356,29.17,29,7,82.18,3,0
24944,60,10.93,36211,24.34,6,2,13.9,0,0
10204,36,11.99,125426,28.27,25,4,74.73,1,0
2081,60,20.49,25842,14.98,22,5,4.79,4,1
30305,60,18.23,83115,14.78,2,7,94.85,4,0
17896,60,8.7,86852,1.81,13,2,71.12,1,0
8805,60,8.48,145737,14.0,5,14,0.68,3,1
6237,36,6.97,65968,37.17,28,6,76.39,3,0
21056,36,18.21,37508,15.17,27,1,51.41,2,1
4343,36,20.29,42005,33.25,25,7,77.94,0,0
14500,36,10.3,74575,33.69,8,9,52.25,3,0
30375,60,5.42,100742,14.93,23,5,64.1,1,0
10662,60,6.64,38971,25.28,1,5,78.63,3,0
17964,36,24.36,45599,3.81,20,4,40.51,4,0
9130,60,10.91,107592,4.15,12,3,0.27,0,0
20531,60,20.38,86914,1.95,23,9,84.99,2,0
2679,60,17.49,138062,23.24,11,5,38.09,0,1
4506,36,12.64,87055,17.04,7,8,49.6,4,0
14284,36,9.11,107697,21.92,15,9,0.78,4,0
8253,36,7.43,126239,20.84,22,5,49.21,4,0
20128,60,17.3,124397,14.01,24,10,98.65,4,0
28932,36,20.49,143106,27.1,11,9,27.83,1,0
10435,36,17.88,25355,30.34,29,2,39.54,2,1
14296,36,15.61,74120,0.59,22,9,68.72,4,0
31445,36,5.84,94619,8.29,26,11,81.48,4,0
14245,36,24.37,58342,28.53,16,4,41.74,3,0
30124,36,20.97,105992,15.46,3,6,30.97,2,0
30899,60,10.86,98860,26.5,20,6,93.78,0,1
30222,60,24.6,22257,13.88,14,6,67.71,2,0
27211,36,17.04,47364,15.63,3,2,11.9,2,0
27646,36,16.65,44972,6.35,1,7,6.89,2,0
24049,60,19.96,131715,10.33,26,13,48.35,4,0
15069,60,21.24,46654,24.22,21,6,22.01,4,0
33580,36,18.13,100769,17.33,15,11,25.4,1,0
32843,36,7.56,101423,30.97,1,14,87.77,0,1
3849,36,11.77,49320,34.1,17,1,8.96,3,1
24289,36,23.56,40808,21.67,2,2,71.54,2,0
10823,60,9.49,72389,30.33,29,7,27.11,0,0
10540,36,12.44,115690,12.28,20,1,76.03,0,0
17364,36,13.64,138581,16.6,6,1,72.24,1,1
5611,36,13.79,147927,28.51,8,1,0.74,3,1
28663,36,17.26,54773,15.45,29,8,50.91,2,1
31977,60,23.86,71168,23.54,16,4,13.93,3,0
30168,60,9.81,47747,7.41,19,4,86.62,1,0
26471,60,7.43,96396,23.99,1,13,87.16,4,1
23687,36,8.95,128374,34.46,3,2,41.83,0,0
1851,36,22.74,127692,34.75,28,11,44.44,2,0
19071,60,17.92,103692,28.97,3,11,30.33,4,0
7833,36,10.72,77505,29.83,5,11,71.66,1,0
12938,36,21.32,105896,22.32,27,1,35.87,3,0
27144,60,22.23,38135,23.39,12,12,26.78,0,0
5000,60,21.93,110887,5.35,12,10,43.22,2,0
6052,60,23.38,142118,17.75,20,9,9.15,4,1
29074,60,10.04,116035,18.03,13,7,74.66,4,0
33320,36,20.1,67377,38.34,20,4,1.26,0,0
4913,36,14.21,43554,17.24,9,12,64.45,3,0
18450,60,21.84,82491,21.97,7,6,18.29,1,0
25107,36,19.57,75621,21.33,4,14,23.24,3,0
21764,60,20.53,134667,25.47,19,2,63.56,3,0
21491,60,18.12,78283,29.93,22,7,99.29,3,0
4373,36,8.55,105140,9.0,19,2,77.77,0,0
13161,60,15.9,36923,21.15,6,10,22.58,0,1
32996,36,24.69,67591,33.04,27,8,17.6,1,0
28122,36,23.75,82261,18.52,13,8,86.62,3,0
28350,36,5.86,136149,11.14,11,1,44.42,0,0
28472,36,8.3,74336,26.19,13,13,13.71,1,1
29761,60,7.63,94083,32.95,13,8,86.22,1,0
26351,36,19.52,80948,2.53,28,2,81.61,3,1
24132,60,21.36,129819,31.07,25,6,98.39,2,1
16305,60,9.27,53002,32.87,22,13,90.97,3,1
10817,60,15.12,100098,18.46,28,1,85.18,2,1
12261,60,21.81,136236,39.33,20,5,5.26,1,0
1417,36,19.66,93016,31.47,15,11,10.44,0,0
21358,36,15.84,46672,30.95,21,7,56.9,4,1
4267,60,16.81,24213,29.91,13,13,53.15,1,0
18209,60,15.17,30293,6.02,22,10,45.8,0,0
25052,36,10.95,119977,8.69,11,1,39.68,1,0
27092,60,16.3,75860,18.56,19,2,43.12,3,0
12338,36,18.78,82507,10.56,8,7,56.93,2,1
1412,60,22.47,77134,16.61,20,6,0.21,1,0
8543,36,17.73,22100,35.54,8,3,26.07,0,0
34496,60,20.22,130153,32.97,10,14,51.83,3,1
24548,60,8.2,81997,25.2,26,10,72.22,4,1
28384,36,14.23,48172,34.32,16,2,17.42,3,0
19888,60,5.19,40132,31.35,19,10,54.69,2,0
18506,60,9.93,137861,17.16,26,4,71.45,3,0
21463,36,19.53,38199,8.04,23,3,44.46,4,0
18955,60,24.84,56609,20.57,11,7,2.71,0,0
6104,36,6.98,62965,29.45,13,8,44.93,1,0
24190,36,13.03,28016,17.46,28,2,29.64,2,0
8357,60,21.0,59779,26.67,9,10,92.96,4,0
33479,60,9.08,122797,3.77,20,7,12.46,2,0
21150,60,16.1,51881,29.92,24,8,65.25,3,0
6644,60,19.66,102594,32.51,19,6,5.27,2,0
3914,60,17.32,44472,28.27,16,6,44.62,4,0
22352,60,8.76,126882,38.69,7,10,55.4,1,0
15397,60,12.11,120462,33.07,19,1,29.8,1,0
1728,36,20.68,71813,36.12,12,4,45.51,2,0
1698,60,16.08,120368,37.34,15,14,16.36,0,1
14923,36,5.1,146731,32.05,23,1,30.41,2,0
17779,60,20.22,56021,26.97,14,4,62.11,3,0
8400,60,5.71,74131,0.23,11,2,30.18,1,0
25466,36,19.91,44087,18.63,26,11,89.97,1,1
5360,60,9.05,32828,22.85,10,13,62.84,1,0
18101,60,24.16,81610,12.16,27,5,43.86,0,0
33307,36,12.36,116664,12.72,11,10,3.88,0,0
6486,60,11.54,143619,38.45,6,14,49.95,4,0
9335,60,7.98,21401,35.67,2,9,76.48,2,1
22364,60,11.11,105179,33.97,11,11,26.56,2,0
24576,36,22.53,35193,16.24,19,12,80.68,3,0
32667,60,24.93,112389,0.55,6,10,25.18,1,0
12130,60,12.37,64864,3.21,14,3,82.37,0,0
22972,60,13.97,40307,12.49,20,8,8.53,3,0
2167,60,19.44,122518,0.63,6,3,86.62,3,0
28192,36,22.72,39611,0.69,17,6,49.92,0,0
2062,36,16.86,63791,36.66,10,4,29.65,2,0
19540,60,12.83,31950,28.25,28,8,26.51,1,0
25244,60,13.25,96240,12.36,1,11,43.2,2,1
22545,36,18.91,128647,5.31,3,6,99.9,3,0
22689,36,5.06,97403,20.47,8,8,22.03,1,1
12174,60,17.39,22745,0.21,8,1,10.32,4,0
23925,36,12.11,75243,37.54,27,6,58.5,3,1
10348,60,20.88,23866,16.59,20,1,48.85,2,0
24714,36,6.86,52245,16.09,22,1,52.42,2,0
9924,36,16.76,64724,15.62,15,8,66.69,2,1
25394,36,14.62,148681,2.77,24,7,26.71,0,0
7801,36,17.85,91354,25.53,7,3,91.07,3,0
7731,60,6.3,71374,29.32,11,6,43.57,1,0
24625,36,16.6,134397,27.05,7,9,12.91,2,0
18337,36,16.23,137480,5.54,29,7,74.23,2,0
8056,60,16.21,144577,23.15,4,12,64.31,0,0
12516,36,17.07,50116,22.78,25,3,31.57,1,0
2542,36,18.53,101029,34.74,12,14,62.15,3,0
22677,60,21.1,113574,15.17,26,14,21.99,4,0
28569,36,10.4,40447,14.86,6,13,44.48,0,0
24322,60,21.5,50431,24.74,14,6,89.94,3,0
20065,60,14.97,37908,25.32,12,11,13.35,4,1
18924,60,6.54,49336,18.77,11,4,38.67,2,0
23556,60,6.17,60992,17.72,19,14,82.11,2,0
27962,36,11.68,75350,19.77,21,13,96.95,1,0
29295,60,20.7,89561,34.44,5,3,45.39,4,0
14807,36,19.15,137254,18.45,14,9,50.7,2,0
27432,36,20.77,71955,37.6,21,10,57.22,2,0
18749,36,15.35,81240,20.16,24,2,93.23,1,0
27256,36,13.8,40093,37.97,16,1,85.82,3,0
2324,36,7.95,26155,33.31,25,14,17.06,2,0
26731,36,11.56,66607,14.5,13,2,43.68,0,0
24803,36,13.68,53487,34.55,25,7,46.4,0,0
20870,36,6.77,133194,4.4,29,10,78.91,3,0
7588,36,9.41,75668,37.0,22,1,60.29,4,1
27790,36,16.96,40963,25.27,22,6,65.42,1,0
26289,60,19.71,70124,2.18,25,14,99.82,0,0
29178,60,24.97,72870,25.77,20,7,7.5,0,0
29710,60,23.66,76547,38.97,22,9,22.3,3,0
16485,36,17.85,84110,2.79,4,14,40.79,4,0
21652,60,13.42,73554,22.19,11,8,34.78,4,0
5748,60,17.72,40936,29.91,17,6,2.16,3,0
22233,60,20.71,136895,32.41,7,3,9.18,0,0
10435,36,7.37,24426,16.55,14,8,68.1,1,0
4709,36,13.2,108839,8.17,26,7,87.93,0,0
31355,36,21.8,130816,1.69,11,3,51.42,4,0
14116,36,12.68,47606,23.19,28,9,53.92,0,0
26470,60,16.44,67832,18.12,22,12,25.51,1,0
15683,60,16.76,48151,37.95,9,2,76.79,2,0
1504,60,8.69,99303,2.42,23,3,75.18,0,0
34982,60,12.24,31308,27.42,13,2,58.84,3,1
29016,36,11.69,129781,1.0,23,13,21.27,2,0
24960,36,5.52,82522,6.86,18,1,9.7,3,0
34591,36,5.48,143523,18.14,28,4,6.42,3,0
18312,60,21.63,65671,18.19,11,5,59.27,3,1
